Time,O1,O2,O3,O4,I1,I2,I3,I4
0,18.09,17.58,17.44,17.3,18.74,20.08,17.4,19.85
1,18.09,17.58,17.44,17.3,18.74,20.08,17.42,19.85
2,18.09,17.58,17.44,17.31,18.74,20.07,17.45,19.85
3,18.09,17.59,17.45,17.31,18.74,20.08,17.47,19.85
4,18.09,17.59,17.45,17.32,18.74,20.08,17.49,19.85
5,18.08,17.59,17.45,17.33,18.74,20.07,17.5,19.85
6,18.1,17.6,17.46,17.33,18.74,20.07,17.5,19.85
7,18.09,17.59,17.45,17.34,18.74,20.08,17.51,19.85
8,18.09,17.6,17.46,17.34,18.75,20.08,17.52,19.86
9,18.09,17.6,17.45,17.34,18.74,20.08,17.53,19.85
10,18.09,17.6,17.46,17.35,18.74,20.08,17.53,19.85
11,18.09,17.61,17.46,17.35,18.74,20.07,17.54,19.86
12,18.08,17.6,17.46,17.34,18.73,20.07,17.55,19.86
13,18.09,17.61,17.46,17.35,18.74,20.07,17.56,19.86
14,18.1,17.6,17.46,17.36,18.73,20.07,17.56,19.86
15,18.1,17.61,17.47,17.35,18.74,20.07,17.56,19.86
16,18.1,17.61,17.47,17.37,18.73,20.07,17.57,19.85
17,18.1,17.61,17.48,17.37,18.73,20.07,17.58,19.86
18,18.11,17.61,17.48,17.37,18.73,20.08,17.59,19.86
19,18.11,17.62,17.49,17.38,18.74,20.08,17.59,19.86
20,18.1,17.62,17.49,17.38,18.73,20.06,17.6,19.86
21,18.12,17.62,17.5,17.4,18.73,20.07,17.65,19.86
22,18.12,17.63,17.5,17.4,18.73,20.07,17.66,19.86
23,18.13,17.63,17.5,17.41,18.74,20.07,17.67,19.86
24,18.13,17.63,17.5,17.41,18.73,20.07,17.67,19.86
25,18.14,17.63,17.5,17.42,18.74,20.07,17.68,19.87
26,18.14,17.64,17.51,17.42,18.73,20.07,17.67,19.87
27,18.14,17.64,17.51,17.43,18.73,20.07,17.65,19.87
28,18.14,17.64,17.51,17.44,18.73,20.07,17.64,19.87
29,18.14,17.65,17.52,17.45,18.74,20.07,17.62,19.88
30,18.15,17.65,17.52,17.44,18.74,20.07,17.62,19.88
31,18.15,17.65,17.52,17.45,18.74,20.08,17.6,19.88
32,18.15,17.65,17.52,17.46,18.74,20.07,17.58,19.88
33,18.15,17.65,17.53,17.46,18.74,20.07,17.59,19.89
34,18.15,17.65,17.52,17.45,18.73,20.07,17.61,19.88
35,18.15,17.65,17.52,17.45,18.74,20.07,17.59,19.89
36,18.15,17.64,17.53,17.46,18.74,20.07,17.62,19.88
37,18.15,17.66,17.53,17.46,18.74,20.08,17.66,19.89
38,18.15,17.66,17.54,17.47,18.74,20.07,17.65,19.89
39,18.15,17.66,17.54,17.48,18.74,20.08,17.67,19.9
40,18.16,17.66,17.54,17.49,18.74,20.08,17.7,19.9
41,18.16,17.66,17.54,17.49,18.74,20.07,17.73,19.9
42,18.16,17.67,17.55,17.5,18.74,20.08,17.75,19.9
43,18.17,17.67,17.55,17.51,18.74,20.08,17.78,19.9
44,18.17,17.68,17.56,17.51,18.74,20.08,17.8,19.9
